church_name,pastor_name,pastor_title,address,city,state,zip,district,phone,email,website,status,source,last_updated,lat,lng,ministries,notes
Northport AOH Church of God,,,"518 8th St",Northport,AL,35476,23,,,northportaohchurch@gmail.com,northportaohchurch.com,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Gadsden II AOH Church of God,Willie Sanders,Elder,"3409 West T... Street",Gadsden,AL,35904,22,,,,pending,Image transcription,2026-04-15,,,,Address partially obscured in screenshot; verify
Attalla II AOH Church of God,William McKinney,Elder,"506 Shik...? Rd",Attalla,AL,35954,22,,,,pending,Image transcription,2026-04-15,,,,Address partially obscured in screenshot; verify
True Deliverance AOH Church of God,Temus Lane,Elder,"1024 L... Street",Gadsden,AL,35903,22,,,,pending,Image transcription,2026-04-15,,,,Address partially obscured in screenshot; verify
Rising Star AOH Church of God,Terry Harris,Elder,"??? Tuscaloosa Street",Gadsden,AL,35901,22,,,,pending,Image transcription,2026-04-15,,,,Address partially obscured in screenshot; verify
Anointed Temple AOH Church of God,Jeremiah Tate,Bishop,"2325 38th Ave N",Gulfport,MS,39501,,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Laurel AOH Church of God,Margaret Jackson,Missionary,"881 Atwell Ave South",Laurel,MS,39440,,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Gethsemane AOH Church of God,Vivian Mackey,Elder,"215 Cardiff Avenue",San Antonio,TX,78220,19,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Deliverance Temple AOH Church of God,"Morris J. Brothers & Sharon Dixon Brothers",Elders,"503 Station Street",Converse,TX,78109,19,"(210) 566-6233",,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Christ Tabernacle AOH Church of God,Freddie Williams,Elder,"711 Rutherford Street",Wichita Falls,TX,76301,19,"(940) 767-1549",,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Brown's Temple AOH Church of God,Leon Chambers,Elder,"1919 Robert Royal Street",Bogalusa,LA,70427,17,"(985) 735-8165",,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Friendship AOH Church of God (Eastern Council),"Pearce M. Johnson, Jr.",Bishop,"5421 Decatur Street",Hyattsville,MD,20781,24,"(301) 779-6900",,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Jamaica AOH Church of God,"Billy Bankston & Leila Bankston",Elders,"179-63 133rd Ave",Jamaica,NY,11434,10,"(718) 297-9105",,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Maranatha Apostolic Temple,,,"701 E 25th St",Baltimore,MD,,,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
First Holiness Church of the Living God,,,"13095 Okeechobee Blvd",Loxahatchee,FL,,,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Joyful Noise AOH Church of God,,,"955 S Hammett Ave",Sylacauga,AL,,,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Touch of Love AOH Church of God,Willie Gordon,Elder,"380 Norman Bridge Rd",Montgomery,AL,36105,8,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Majesty AOH Church of God,Robert Mason,Overseer,"106 Reese Dr",Hayneville,AL,36040,8,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Pilgrim Tabernacle AOH Church of God,James Monroe,Overseer,,Luverne,AL,,8,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Greater Linden AOH Church of God,James Monroe,Overseer,,Linden,AL,,6,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Pettus Street AOH Church of God,James Monroe,Overseer,,Demopolis,AL,,6,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Sunflower AOH Church of God,B. L. Calhoun,Elder,"324 Washington Ave",Thomasville,AL,36784,8,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Friendship AOH Church of God,George L. Smith,Elder,,Camden,AL,,9,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
El Shaddai AOH Church of God,Gregory Levy,Elder,"3484 Highway 14 East",Dixons Mills,AL,36736,9,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Community Outreach AOH Church of God,"Bernard R. Bell Jr.",Elder,,Butler,AL,,9,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Bethany AOH Church of God,Arthur McNeal,Elder,"150 Todd Town Rd",Pine Hill,AL,36769,9,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Sardis AOH Church of God,Herbert Elaine,Overseer,"387 Bessemer Rd",Fairfield,AL,35064,10,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Greater Allenville AOH Church of God,Richard Curtis,Bishop,"2900 Monster Street",Allenville,AL,36742,23,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
